,Question,Updated_question,Answer,Context,Similarity,Keyword,ID
416,How does the energy range of the training dataset compare to that of the entire dataset?,How does the energy range of the 600 points randomly selected from QCT trajectories and augmented with UCCSD(T)-F12a/AVTZ calculations compare to that of the entire dataset?,The energy range of the training dataset is the same as that of the entire dataset.,"['At the UCCSD(T)-F12a/AVTZ level, these 10700 points fall into the energy range from -40 to 120 kcal mol -1, the same as the energy range of the DFT entire dataset.', 'Further, to check the convergence of PESH with respect to the number of training points, 600 points were randomly selected from the QCT trajectories and then added to the training dataset after the UCCSD(T)-F12a/AVTZ calculations.', 'Figures 2a and 2b displayFigures 2a and 2b display the distributions of the training dataset and the entire dataset, Figure 2 .2Figure 2.']",0.44,training dataset,417
329,How does the control of charging effects in ZrBTC-114.6 compare to that in ZrBTC-114.6-S?,How does the control of charging effects in the sample with relative concentrations of chemical species considered inaccurate but valid for qualitative comparison compare to that in ZrBTC-114.6-S?,"Charging effects were effectively controlled in ZrBTC-114.6, unlike in ZrBTC-114.6-S where they could not be prevented.","['Values for the relative concentrations of the chemical species presented in Table for the sample of ZrBTC-114.6-S are considered to be inaccurate but valid for a qualitative comparison with those calculated for ZrBTC-114.6 over which charging effects were effectively controlled.', 'Taking the latter into account, values for the relative concentrations of the chemical species presented in Table for the sample of ZrBTC-114.6-S are considered to be inaccurate but valid for a qualitative comparison with those calculated for ZrBTC-114.6 over which charging effects were effectively controlled.', 'Thermal stability of the materialsThermograms for the as-synthesized samples ZrBTC-114.6, ZrBTC-83.5, and ZrBTC-52.4 are displayed in Figure .']",0.461538462,zrbtc-114.6,330
738,What timescales were recovered from these data?,What timescales were recovered from the calculated data for the UPS and NEXAFS spectra that was rigidly shifted to match the experimental energy scale?,2.5 ± 0.4 ps and 13.8 ± 1.0 ps,"['From these data, two timescales were recovered, 2.5 ± 0.4 ps and 13.8 ± 1.0 ps.', ""For instance, one can use pandas' csv loader to load a spectrum from a .csv file with two columns storing the intensity data and the spectral axis by using: import pandas as pd data = pd ."", 'The calculated data for the UPS and NEXAFS spectra was rigidly shifted to match the experimental energy scale.']",0.208333333,datum,739
404,What is the step before filtering and concentrating in the synthesis of Boc-L-Lys NCA monomer?,What is the step before filtering and concentrating in the synthesis of a compound prepared from O-(tert-butyl)-L-serine using a similar method as Boc-L-lysine NCA?,Drying the organic layer over anhydrous MgSO4,"['Nε-tert-butyloxycarbonyl-L-lysine (10.0 g, 40.6 mmol) and α-pinene (16.6 mL, 107.4 mmol) were suspended in anhydrous THF (0.3 M) in a round bottom flask cooled with an ice-water bath, followed by the addition of triphosgene (5.4 g, 17.9 mmol) in anhydrous THF under N2. ', 'The reaction was stirred at 50 °C for 2 hours, and then concentrated to remove the solvent. ', 'The obtained mixture was dissolved in ethyl acetate (80 mL) and washed with ice water (3×80 mL) and cold brine (1×80 mL). ', 'The collected organic layer was dried over anhydrous MgSO4, filtered and concentrated to give a crude product.', 'We also show that disruption of endocytosis presents a promising strategy to delay membrane permeabilization and cell death during necroptosisMethodsSynthesis of Nε-tert-butyloxycarbonyl-L-lysine NCA (Boc-L-Lys NCA) monomer: Boc-L-Lys NCA was prepared according to literature with slight modification .', 'H NMR (400 MHz, CDCl3): δ 6.92 (br, 1H), 4.66 (br, 1H), 4.33 (dd, J = 6.4, 4.4 Hz, 1H), 3.14 (s, 2H), 1.99-2.05 (m, 1H), 1.80-1.89 (m, 1H), 1.5-1.56 (m, 4H), 1.45 (s, 9H). was prepared from O-(tert-butyl)-L-serine (5 g, 31 mmol), by using the similar method as the Boc-L-lysine NCA, to give a white solid (3.8 g, 65.5%).']",0.44,NCA,405
148,What action is taken if one chooses to derive the non-bonded parameters of the force field directly from quantum mechanics?,What action is taken if one chooses to derive the non-bonded parameters of a model that includes key torsional parameters describing the backbone and sidechain dynamics of an amino acid directly from quantum mechanics?,Because  there can be density matrices of finite entropy that are consistent with the given expectation values.,"['To improve the consistency between charge and Lennard-Jones parameters, and also reduce the reliance on fitting to experimental data, one could either directly fit non-bonded MM parameters to reproduce quantum mechanical (QM) energies and forces, or derive the non-bonded parameters of the force field directly from QM. ', 'In the latter approach, the QM interaction energy may be broken down into physically motivated components using intermolecular perturbation theory, though these methods are limited to quite small system sizes.', 'The use of these parameters potentially limits the accuracy of the force field due to interdependency between the bonded terms, particularly the torsional parameters, and the non-bonded components of the force field.', 'This work focuses on the remaining component of the force field, namely the re-fitting of key torsional parameters that describe the backbone and sidechain dynamics of an amino acid.']",0.515151515,force field,149
361,How does the ability of CitB to accept substituents at the C4 position compare to that of ClaD?,How does the ability of CitB to accept substituents at the C4 position compare to that of an enzyme that selectively hydroxylates compounds with a variety of steric and electronic properties and can productively react with a variety of ketones?,"CitB generally does not hydroxylate substrates with greater steric bulk at C4, such as ketone substrates, whereas ClaD can productively react with a variety of ketones.","['For CitB, the formyl group at C4 can be substituted with alternative electron-withdrawing substituents such as a nitro group (25) or imine (24). ', 'However, substrates with greater steric bulk at C4, such as ketone substrates, were generally not hydroxylated by CitB. ', 'In contrast, ClaD can productively react with a variety of ketones (see 9, 27-30).', 'Analytical-scale reactions revealed that CitB and ClaD each selectively hydroxylate compounds with a variety of steric and electronic properties (Fig. ).', 'However, substrates with greater steric bulk at C4, such as ketone substrates, were generally not hydroxylated by CitB. In contrast, ClaD can productively react with a variety of ketones (see 9, 27-30).']",0.451612903,clad,362
81,What is the step before deposition onto a Cu(111) single crystal substrate in the process of depositing azupyrene and pyrene?,What is the step before deposition onto a Cu(111) single crystal substrate in the process of depositing a substance that exhibits a significant influence on electronic structure due to a small change in topology compared to pyrene and pyrene?,Initial freeze-pump-thaw cycles of the reservoirs,"['Azupyrene and pyrene were deposited onto a Cu(111) single crystal substrate with a home-build line-of-sight evaporator after initial freeze-pump-thaw cycles of the reservoirs.', 'These results indicate that the small change in topology, which distinguishes pyrene from azupyrene, has a remarkable influence on the electronic structure as manifested in theraman_object = ramanspy .', 'It should be noted that while the lowest energy excitation corresponds to the transition from the highest occupied to the lowest unoccupied molecular orbital (HOMO→LUMO) in pyrene, this transition is symmetry forbidden for azupyrene and the peak in the visible range has to be attributed to the transition into a higher lying unoccupied orbital (HOMO→LUMO+1).']",0.529411765,azupyrene,82
164,Why are MLKL and pMLKL proteins acylated exclusively during necroptosis?,Why are MLKL and pMLKL proteins modified by the addition of an acyl group exclusively during necroptosis?,"'Various tertiary sulfinamides with cyclic and acyclic aliphatic N-substituents underwent the crossover reaction with high yields, resulting in an almost equimolar mixture of products as determined by HPLC (Fig. )","['We detected both MLKL and pMLKL in necroptotic cells but not in control cells suggesting that both MLKL and pMLKL can be fatty acylated during necroptosis and that their acylation is not appreciable in the absence of necroptotic activity.', 'Our proteomics data set is limited in distinguishing peptides from unmodified ones, therefore little information was obtained whether MLKL and/or pMLKL was acylated.', 'A higher number of proteins appear acylated in only control (561) as compared to only necroptosis (158).']",0.5,acylate,165
101,What are the 31 P NMR signal values for ligands 1a and 1b?,What are the 31 P NMR signal values for the ligand with a TEPNi value of 2059.6 cm-1 and ligand 1b?,102.5 and 100.2 ppm,"['Ligands 1a and 1b are characterized by 31 P NMR signals at 102.5 and 100.2 ppm, respectively, upfield-shifted compared to their respective ClP(NR2)2 precursors.', 'A linear regression allowed to derive the TEPNi values for ligands 1a and 1b of 2059.6 cm -1 and 2053.0 cm -1 , respectively.', 'No obvious difference in performance between ligands 1a and 1b was noted.']",0.523809524,ligand 1a,102
39,What happens to the mitochondrial recruitment of cytPINK1-mOrange2-eDHFR or miRFP670nano-Parkin in the absence of violet light illumination?,What happens to the mitochondrial recruitment of cytPINK1-mOrange2-eDHFR or a protein transiently expressed in HeLa cells stably expressing Halo-OMP25 and pSu9-mEGFP in the absence of violet light illumination?,The mitochondrial recruitment of either cytPINK1-mOrange2-eDHFR or miRFP670nano-Parkin is not significantly observed.,"['In the absence of violet light illumination, however, mitochondrial recruitment of either cytPINK1-mOrange2-eDHFR or miRFP670nano-Parkin was not significantly observed.', 'HeLa cells stably expressing Halo-OMP25 and pSu9-mEGFP were transfected to transiently express cytPINK1-mOrange2-eDHFR and miRFP670nano-Parkin and were treated with 7 μM pcDH.', 'In the absence of pcDH, no accumulation of cytPINK1-mOrange2-eDHFR or miRFP670nano-Parkin was observed, regardless of the illumination wavelength (Fig. , Extended Data Fig. ).']",0.538461538,mirfp670nano-parkin,40
575,"How does the type, concentration, and position of intercalants affect the structural, magnetic, and electronic features of triazinebenzene-boroxine 2D COFs?","How does the type, concentration, and position of substances that cause distortions in configurations TM-03, TM-04, and TM-05 by being close enough to the benzene rings, affecting the average interlayer distance (ILD) between COF layers, affect the structural, magnetic, and electronic features of triazinebenzene-boroxine 2D COFs?","The type, concentration, and position of intercalants change the structural, magnetic, and electronic features of triazinebenzene-boroxine 2D COFs. Structurally, intercalation results in changes in the interlayer distance, which relates directly to the interaction strength between the transition metals and the bilayer. Magnetically, a wide range of stable spin configurations is observed, which depends on the type, position, and concentration of intercalants.","['Our analyses reveal that the type, concentration, and position of intercalants changes their structural, magnetic, and electronic features. ', 'Structurally, intercalation results in changes in the interlayer distance, which can be directly related to interaction strength between the transition metals and the bilayer. ', 'Magnetically, we observe a wide range of stable spin configurations (FM, FiM, AFM, NM), which depend on the type, position, and concentration of intercalants.', 'The third column of Table shows the average interlayer distance (ILD) between COF layers for all intercalant concentrations.', 'Similar to the C -C bonding distances, these angles are noticeably larger in configurations TM-03, TM-04, and TM-05 since these configurations have intercalants close enough to the benzene rings to cause distortions.']",0.390243902,intercalant,576
342,How does the aggregation behavior of SOPS compare to that of typical porphyrins?,How does the aggregation behavior of SOPS compare to that of typical substances synthesized from commercially available aldehydes with easily incorporated axial silyloxy substituents?,"SOPS do not self-associate in the same manner as typical porphyrins; the silyloxy axial substituents in SOPS inhibit aggregation, improving solubility.","['While porphyrins typically form either J-or H-aggregates, SOPS do not self-associate in the same manner: the silyloxy axial substituents dramatically improve solubility by inhibiting aggregation.', 'This meso substitution is readily achieved by simply forming the porphyrin from commercially available aldehydes, of which there are many.', 'In general, we were gratified to see that modification of the easily incorporated axial silyloxy substituents can control the degree to which the porphyrin deviates from planarity in the crystal structure.']",0.458333333,porphyrin,343
250,What did we determine the noise level in the TA data to be for TIPS-Pn?,What did we determine the noise level in the data that includes artificial noise from a Gaussian distribution with the same standard deviation as the experimental data to be for TIPS-Pn?,0.019 mOD,"['For TIPS-Pn, we determined the noise level in the TA data to be 0.019 mOD from the level of fluctuations around a smoothed spectrum obtained by applying a low-pass filter.', 'Additionally, the excimer state is emissive, but there is an absence of any obvious emission features in the basis spectrum that correspond to the excimer emission characterized by Dover et al.. Instead, we attribute the discrepancy between the Dover model and the TA data in this study to the concentrations of TIPS-Tn used.', 'The modeled data include artificial noise from a Gaussian distribution with the same standard deviation as the experimental TA data.']",0.481481481,TA,251
456,Why does BioMetAll differentiate the metal-binding profile between both conformational states of HSA?,Why does BioMetAll differentiate the metal-binding profile between both conformational states of a protein that detects known primary binding sites with His-His-Asp/Glu and other secondary metal binding sites?,BioMetAll differentiates the metal-binding profile between both conformational states of HSA because it is able to account for the impact of conformational changes of the protein and how it affects its preorganization for metal binding.,"['Hence, BioMetAll differentiates the metal-binding profile between both conformational states of HSA. ', 'This case study points out that BioMetall is not only able to predict with accuracy primary and secondary metal-binding sites but also to account for the impact of conformational changes of the protein and how it affects its preorganization for metal binding.', 'Obviously, like for other techniques based on empirical scores, the predictiveness of the method cannot be limited to the best solution only and those secondary metal binding sites that BioMetAll detects are not necessarily false positives but transient metallic environments accessible to the protein (see our first application case on HSA).', 'As a result of the first analysis, both known primary binding sites (MBS and NTS) were detected by BioMetAll for HSA d with His-His-Asp/Glu along with other secondary sites that satisfy patterns like NHis/COO -Asp/Glu;COO -Glu;COO -Asp/Glu (Table ) and that have also been reported in the literature.']",0.428571429,HSA,457
643,Why do non-equilibrium growth methods enable higher Gd incorporation into AlN?,Why do non-equilibrium growth methods enable higher incorporation of an element used in the form of PAW potentials to describe core electrons in Al 1-x Gd x N and related alloys into AlN?,"Non-equilibrium growth methods enable higher Gd incorporation into AlN because they can access higher effective temperatures, which are necessary for achieving higher concentrations of Gd in the alloy.","['Higher (effective) temperatures that can be accessed with non-equilibrium growth methods will enable higher Gd incorporation.', 'The wavefunctions were expanded as plane waves and the following projector-augmented wave (PAW) potentials were used to describe the core electrons for Al 1-x Gd x N and related alloys: Al 04Jan2001, N_s 07Sep2000, Gd 23Dec2003, Gd_3 06Sep2000, Tb_3 06Sep2000, and Pr_3 07Sep2000.', 'Future growth optimization may be able to further increase the range of Gd that can be incorporated into AlN. Expanding our computational analysis to Pr 3+ and Tb 3+ , which show similar behavior to Gd 3+ , and comparing ionic size effects with electronegativity for all the cations that have been considered for substitution into AlN allows us to develop design rules for Al 1-x M x N alloys.']",0.35483871,gd,644
445,What did we determine the noise level in the TA data to be for TIPS-Pn?,"What did we determine the noise level in the TA data to be for a substance that exhibits additional excited-state absorption signals centered at approximately 453, 514, and 572 nm?",0.019 mOD,"['For TIPS-Pn, we determined the noise level in the TA data to be 0.019 mOD from the level of fluctuations around a smoothed spectrum obtained by applying a low-pass filter.', 'For the the 0.05 mM TIPS-Pn solution (Fig. (a)), there are additional excited-state absorption (ESA) signals centered at approximately 453, 514, and 572 nm, which are consistent with previous observations of the absorption of the TIPS-Pn singlet exciton.', 'The resultant deconvolution fits for TIPS-Pn are given in Figs. S14 and S15 of the supplementary material.']",0.433333333,tips-pn,446
212,What is the step before the output was later split to generate pump and probe pulses in the experimental setup for 2DES measurements?,What is the step before the output was later split to generate pump and a pulse derived from an amplified Ti:Sapphire laser with its frequency reduced to 20 Hz using a rotating chopper in the experimental setup for 2DES measurements?,The NOPA output was compressed using a prism compression line.,"['A 1kHz regenerative amplifier laser system, Coherent (Libra), was used to power a home-built single-pass noncolinear optical parametric amplifier (NOPA). ', 'The NOPA output was compressed using a prism compression line and later split to generate pump and probe pulses. ', 'The pump pulse was passed through a pulse shaper, FASTLITE Dazzler, to provide controllable variable time delay between two collinear pump pulses. ', 'After the sample position, the probe was focused onto a spectrometer (SpectraPro HRS-300) and detected on a CCD (PIXIS 400, Princeton Instruments).', 'Pump and probe pulses for the spectrometer were derived from an amplified Ti:Sapphire laser (Libra, Coherent).', 'The frequency of the pump pulse was set at 10 Hz, while that of the probe pulse was reduced to 20 Hz using a rotating chopper.']",0.5,probe pulse,213
291,How does the amount of initiator used in the synthesis of N-terminal functionalized peptide polymers compare to that used in the synthesis of Dye-K18S4?,How does the amount of initiator used in the synthesis of N-terminal functionalized peptide polymers compare to that used in the synthesis of a substance that is not enriched on the cell membrane of S. aureus and does not directly cause membrane damage from the outside of the bacteria?,"The amount of initiator used in the synthesis of both N-terminal functionalized peptide polymers and Dye-K18S4 is the same, which is 5 equivalents.","['After completion of the reaction for normal peptide polymer synthesis, tert-butyl benzylamine (5 equiv. of initiator) was added into the reaction mixture. ', 'The synthesis of Dye-K18S4 was similar to the N-terminal functionalized peptide polymers except that tert-butyl benzylamine was replaced with 2-(3-aminopropyl)-6morpholino-1H-benzo[de]isoquinoline-1,3(2H)-dione (5 equiv. of initiator) during the N-terminal functionalization process.', 'At about 1260s, a burst of Dye-K18S4 and PI into the cytoplasm indicated critical damages on the cell membrane of S. aureus (Fig 4a ).', 'Since the Dye-K18S4 was not enriched on the cell membrane, the membrane damage may not be caused by Dye-K18S4 directly from the outside of the bacteria.']",0.470588235,dye-k18s4,292
447,How do the dynamics of lycopene aggregates excited at 355 nm compare to those excited at 570 nm?,How do the dynamics of the aggregates of a substance that exists in two strongly-coupled H-type species absorbing at 355 and 568 nm compare when excited at 355 nm versus 570 nm?,There are significant differences in the dynamics between the lycopene aggregates excited at 355 nm and those excited at 570 nm.,"['Transient absorption measurements upon excitation at 355, 515, and 570 nm, to sub-select these different species, reveal significant differences in dynamics between each of the aggregate types.', 'Alternatively, two strongly-coupled H-type species are present in the sample (species 5 & 6), absorbing at 355 and 568 nm, respectively, with the former packing the lycopene in a somewhat more relaxed conformation than the latter.', 'Singlet fission in heterogeneous lycopene aggregates We have prepared lycopene aggregates with negligible scattering in an acetone-water suspension.']",0.433333333,lycopene,448
677,At what temperature were HT-29 cells cultured?,At what temperature were human colorectal adenocarcinoma cells used in experiments to study cell death pathways cultured?,37 degrees Celsius,"['HT-29 cells were cultured at 37 °C in 5% CO2 atmosphere in DMEM supplemented with 10% (v/v) fetal bovine serum and 1% (v/v) penicillin/streptomycin solution.', 'To induce necroptosis cell death, HT-29 cells were initially sensitized to TNF-dependent cell death pathway by SMAC mimetic BV6 (1 μM), and were co-treated with pan-caspase inhibitor zVAD-FMK (25 μM) and incubated for 30 min at 37 o C. Cells were then treated with TNF-α (10ng/mL) and was incubated for 3 h. Apoptosis treatment.', 'HT-29 cells (1x10 7 ) were plated in 10 cm dishes for ~16h. 30 dishes were used so that there were enough to combine 2 plates per sample for control, 4 plates per sample for necroptosis for 4 replicates per condition treated with alkFA, and one replicate per condition treated with FA to assess non-specific binding (NSB).']",0.333333333,ht-29 cell,678
77,What level of resistance against norfloxacin did S. aureus develop?,What level of the ability of bacteria to withstand the effects of antibiotics against norfloxacin did S. aureus develop?,824-fold resistance,"['S. aureus and E. coli developed resistance toward antibiotics quickly, displaying 824-fold resistance against norfloxacin for S. aureus and 64-fold resistance against ampicillin for E. coli.', ""To address this long-lasting challenge, we prepared peptide polymers that display potent and broad-spectrum activity against common pathogenic bacteria in aquaculture, low hemolysis and low cytotoxicity, and doesn't induce bacteria to develop resistance or cross resistance to antibiotics."", 'At present, colistin has been banned as a feed additive in China and Thailand because colistin cannot be completely degraded by enzymes existing in the environment and animals, and the use of colistin in feed is found to accelerate the dissemination of the first mobile mechanism of colistin resistance, termed MCR-1, in animals and then in human beings .']",0.529411765,resistance,78
198,Why does adding higher-lying conformers to the ensemble increase the entropy?,Why does adding higher-lying conformers to the collection of structures obtained from biased molecular dynamics increase the entropy?,"Adding higher-lying conformers to the ensemble increases the entropy because if the lowest energy conformer is known, any additional conformers can only contribute to an increase in entropy. This is particularly smooth and predictable when many low-energy structures are already included in the ensemble.","['If the lowest energy conformer is known, adding higher-lying conformers to the ensemble can only increase the entropy. ', 'If many of the low-energy structures are already found, the entropy increase for additional states is smooth and it seems possible to extrapolate to completeness without explicit knowledge of all conformers.', 'This is indicated by different lowest-energy conformers and significant energeticre-ordering of the CREST ensemble obtained with the GFN methods after refining (re-optimizing)type=""bibr"" target=""#b37"">38 The present work supports the idea that surface activity is likely a result of ion-induced changes in the structure of water itself, adding an aspect of nonlocal specificity to Hofmeister specific-ion effects.', 'Practically, the obtained ensemble quality depends mostly on the run time t of the (biased) molecular dynamics (MD) in CREST.']",0.5,ensemble,199
